Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-11-03,38.3623,39.5569,38.1881,39.3215,1686427.8011168
2020-11-04,38.7108,39.7661,37.6474,38.7368,1151977.2140705
2020-11-05,39.2344,39.661,38.0219,39.2344,1606518.3017037
2020-11-06,38.7979,39.3907,37.0717,38.5887,1717299.3448012
2020-11-09,38.7108,42.5818,37.8396,42.2423,2643071.5492748
2020-11-10,42.3725,45.5816,41.4753,45.3893,3097660.5135761
2020-11-12,45.7729,47.2557,45.6686,47.0635,3491036.3740912
2020-11-13,47.0635,47.2377,46.2443,46.9935,791254.35466021
2020-11-16,47.3078,49.784,47.3078,49.5567,1770146.279177
2020-11-17,49.6439,50.8653,48.3362,49.8532,2031307.9370055
2020-11-18,49.2783,50.656,49.051,50.5159,670198.75589058
2020-11-19,50.0103,50.1846,48.4233,48.6856,1196204.1213534
2020-11-20,48.4412,49.6969,47.552,49.6969,833833.4138292
2020-11-23,49.784,51.9808,49.784,51.2138,1212932.0065308
2020-11-24,51.6143,52.7658,51.336,52.7658,1337854.4813136
2020-11-25,53.2014,53.4627,51.8766,52.905,1679992.2861857
2020-11-26,53.0101,53.0793,51.8766,52.0679,682130.06696361
2020-11-27,51.8766,52.3123,51.318,51.7366,581969.85032421
2020-11-30,51.4401,51.4401,49.4696,49.4696,2193381.5928795
2020-12-01,49.871,50.551,49.3825,49.9582,816863.91848914
2020-12-02,50.2716,51.5803,49.5567,51.5803,925069.64220336
2020-12-03,51.5623,51.5803,50.3067,50.551,938673.29642978
2020-12-04,50.568,52.138,50.568,51.9637,836354.17607905
2020-12-07,51.8766,52.2601,50.7603,51.4581,763886.71503954
2020-12-08,51.7015,52.138,51.1959,52.0509,775625.40602899
2020-12-09,52.173,56.5497,52.103,55.6605,2774593.2103892
2020-12-10,55.6254,55.7477,53.1313,53.8813,1229652.097832
2020-12-11,54.8405,55.974,51.5452,53.0442,1491099.9022587
2020-12-14,53.6199,54.8926,53.2714,54.474,928387.60664883
2020-12-15,54.1256,55.1018,53.4457,54.0556,1011871.1550116
2020-12-16,54.492,55.4333,53.8993,55.4333,1620923.6117693
2020-12-17,54.7534,55.1548,51.0046,52.5736,2358440.3033436
2020-12-18,52.3993,53.1843,51.1087,52.0859,1405867.1853912
2020-12-21,51.1787,51.4051,49.1212,50.8473,991800.81034923
2020-12-22,51.1087,52.5386,51.0046,52.3293,895307.05576316
2020-12-23,52.3643,53.5328,52.103,53.2534,506646.49035765
2020-12-28,54.0214,54.8926,53.8813,54.387,794037.88187957
2020-12-29,54.9105,55.5384,54.7534,55.0147,703563.22655262
2020-12-30,54.7534,54.7534,52.888,53.2714,1264821.4075431
2021-01-04,52.3123,54.6492,51.4401,53.6199,1313270.3689122
2021-01-05,53.5499,54.8405,53.1843,54.2648,902183.48140585
2021-01-07,55.4162,57.543,55.3641,57.543,1730462.0883161
2021-01-08,57.543,61.1185,57.3688,59.7758,2138915.759073
2021-01-11,59.7928,63.036,59.4264,61.0485,2667066.6673165
2021-01-12,61.4669,61.7454,59.2872,59.8279,1002171.1193576
2021-01-13,60.1063,60.8912,58.8687,60.4206,923574.33138113
2021-01-14,60.4377,60.682,58.5552,59.4094,1035364.124743
2021-01-15,58.9908,59.5665,57.1774,57.7001,959064.30342787
2021-01-18,57.4909,59.4614,56.8811,59.2872,770549.36579178
2021-01-19,60.0542,60.682,57.7702,57.8402,668452.9276186
2021-01-20,57.9795,58.6594,56.7239,58.1537,1268267.4142406
2021-01-21,58.6424,59.1129,56.6718,57.0904,817104.4152409
2021-01-22,57.0203,57.4388,56.1481,56.8981,715376.51607156
2021-01-25,57.4558,57.7001,55.1719,56.044,1242214.7128784
2021-01-26,55.7997,56.4796,54.7534,56.1832,1447116.8319602
2021-01-27,56.1832,56.5847,54.5791,54.9276,1806608.2589287
2021-01-28,54.474,56.2182,53.6379,55.5734,1073761.2126176
2021-01-29,54.9276,56.2353,54.7534,55.5384,967772.28998089
2021-02-01,55.7997,56.2353,55.277,55.8698,424996.72972694
2021-02-02,56.1832,57.4558,55.9568,57.1254,595446.57570943
